ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000138593	595.8072476828776	-0.3245049783901411	0.09904279191354558	-3.276411863201528	0.0010513512119105848	0.00836214087362829
ENSG00000138594	561.1373498602846	-0.273935115162828	0.09924350354307904	-2.7602322105035304	0.005776028989511646	0.03182591973220917
ENSG00000138600	263.11451930029773	-0.008153442747929172	0.08550243140841456	-0.09535919170512346	0.9240295286193125	0.963650053073255
ENSG00000138604	85.06860850482413	-0.027679199091901523	0.08613855113780775	-0.32133346482249603	0.747957698744393	0.867098349787117
ENSG00000138606	26.112788614526938	-0.23263291874305025	0.1550841696103777	-1.500042972325934	0.13360327155179638	0.30845927989107846
ENSG00000138613	102.16776777513836	-0.6389639546894389	0.2047657706657937	-3.1204627248580388	0.0018056714916591346	0.01282917953100103
ENSG00000138614	107.91412024931557	0.2392576777681164	0.09020323621877446	2.652428979242304	0.007991493804315223	0.04076624096627132
ENSG00000138617	33.15672062997395	0.10647008608797058	0.11330175241806982	0.9397037893563092	0.34736952088421386	0.5618033981992766
ENSG00000138621	100.16543057076564	-0.6706314451930669	0.23416735723536336	-2.863898081742496	0.004184626304893358	0.02494074738004139
ENSG00000138622	15.194123068133601	0.0729222996386576	0.2087929218695249	0.3492565695508916	0.7268967003898207	0.8533599570589189
ENSG00000138623	37.83259370534892	-0.25203626115274347	0.266975335158011	-0.9440432428095812	0.34514755106947576	0.5597381718528438
ENSG00000138629	41.198017765087734	0.06638088487903812	0.1266165636815644	0.5242669912128036	0.6000928521258424	0.7703152059864103
ENSG00000138639	103.33654648569298	-0.041798364379068115	0.11569366487167121	-0.36128481559842845	0.7178865436416185	0.8479018825988928
ENSG00000138640	347.4881477674121	0.1058561323605545	0.10290151592370825	1.028713050632187	0.3036145354511384	0.5164083117507777
ENSG00000138641	182.3853101130139	-0.19629444424460907	0.12486866292891823	-1.5720072565872683	0.11594886831295541	0.2807192373898052
ENSG00000138642	339.0385358003597	2.291860618626027	0.1527513921528562	15.003860759138574	6.927009044166326e-51	1.8447779586122285e-47
ENSG00000138646	159.6466254054538	1.8599680152274718	0.2165180653003834	8.590359481769202	8.669764126129954e-18	2.2344219511521055e-15
ENSG00000138658	41.03660106345403	0.20287824689466272	0.13821664217475438	1.467827923631319	0.14215097043271574	0.3213229330630422
ENSG00000138660	89.36777139316607	0.21474585615743705	0.11973301946951466	1.7935391348926408	0.07288675885309628	0.20223259588706818
ENSG00000138663	82.88838161218449	0.0728853728653124	0.09137000286025265	0.7976947639674272	0.42504764311412074	0.6341583836900594
ENSG00000138668	318.4365030095742	0.19973601754292888	0.0627915544253838	3.180937617658094	0.0014679923665702112	0.01096123832963804
ENSG00000138669	8.704409061760602	-0.24204352763043255	0.17601980460764355	-1.3750925821668702	0.1691027437867162	0.3598472157368408
ENSG00000138670	261.005744910843	0.12716990771722625	0.09557115789473586	1.330630605703176	0.18331058681146634	0.37878182680207173
ENSG00000138674	515.8609581843067	-0.210919901197192	0.06810533716813195	-3.0969658174732047	0.001955124172516918	0.013612605295271389
ENSG00000138675	15.69308100750212	0.10148796932505152	0.22287588846901013	0.45535643187873576	0.6488528338483261	0.8026646614587291
ENSG00000138678	50.346377786124165	-0.9528626935638489	0.19528330772585561	-4.879386285803317	1.0641645780073454e-6	2.7512626313294698e-5
ENSG00000138685	5.010954459144713	0.006893566037917036	0.2019651754137937	0.03413244894221612	0.9727715330391432	0.9875382214753331
ENSG00000138686	57.00583055211652	0.01567393764692084	0.185235101825799	0.08461645493984779	0.9325663168358742	0.9668749790241653
ENSG00000138688	674.755980138576	0.09804442452933516	0.09897788285781384	0.9905690210628204	0.32189607084614713	0.5351204032512052
ENSG00000138696	115.39240820671917	0.1475839794829659	0.1302346725115624	1.1332157300112473	0.257123670037452	0.4661424011264404
ENSG00000138698	75.31124339010492	0.01016914411032044	0.09575669288306755	0.10619773724577562	0.9154254662120332	0.9590884339522773
ENSG00000138709	73.88393840588812	-0.11945306095534447	0.08858941413635736	-1.3483897835861247	0.17753304817651916	0.3713089760225916
ENSG00000138735	97.71623186820081	0.14342754116742168	0.16061806801426906	0.8929726458587448	0.3718718215523937	0.5861832728209232
ENSG00000138738	101.89834215378576	-0.36628438116515333	0.14690143647832277	-2.4934023107337238	0.012652539539196752	0.05753412899738898
ENSG00000138741	21.611496504501012	-0.06495426473290329	0.1966968007765938	-0.3302253238306488	0.741229713458475	0.8626559815603283
ENSG00000138744	64.12479628143835	-0.048433703117359735	0.11225903786229365	-0.43144591330608567	0.6661441717941753	0.8134098050693315
